Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
130,30511,species,Spectacled Weaver,Ploceus ocularis,1,Kruger NP--Ntandanyathi Hide,ZA-MP,25 Jul 2024,L4047690,S188786974,,1
131,28959,species,White-browed Robin-Chat,Cossypha heuglini,1,Kruger NP--Lower Sabie Rest Camp,ZA-MP,25 Jul 2024,L2054682,S188786901,,1
132,7840,species,Hooded Vulture,Necrosyrtes monachus,5,"Sabie River Road, Nkomazi ZA-MP -24.96523, 31.74331",ZA-MP,25 Jul 2024,L35137498,S188777980,,1
133,7901,species,Brown Snake-Eagle,Circaetus cinereus,1,Kruger NP--Tshokwane Road,ZA-MP,25 Jul 2024,L951316,S188777881,,1
134,23979,species,Wire-tailed Swallow,Hirundo smithii,2,Kruger NP--Orpen Dam,ZA-MP,25 Jul 2024,L951311,S188783058,,1
135,9894,species,Malachite Kingfisher,Corythornis cristatus,1,Kruger NP--Orpen Dam,ZA-MP,25 Jul 2024,L951311,S188783058,,1
136,27736,species,Greater Blue-eared Starling,Lamprotornis chalybaeus,20,Kruger NP--Tshokwane,ZA-MP,25 Jul 2024,L951299,S188782883,,1
137,2006,species,Mourning Collared-Dove,Streptopelia decipiens,1,Kruger NP--Tshokwane,ZA-MP,25 Jul 2024,L951299,S188782883,,1
138,24024,species,Lesser Striped Swallow,Cecropis abyssinica,3,Kruger NP--Maziti Dam,ZA-MP,25 Jul 2024,L952738,S188777462,,1
139,24035,species,Mosque Swallow,Cecropis senegalensis,5,Kruger NP--Kumana Dam,ZA-MP,25 Jul 2024,L2058014,S188783034,,1
140,30479,species,Red-headed Weaver,Anaplectes rubriceps,1,Kruger NP--Satara Camp,ZA-MP,25 Jul 2024,L949367,S188777208,,1
141,30431,species,Red-billed Buffalo-Weaver,Bubalornis niger,2,Kruger NP--Satara Camp,ZA-MP,25 Jul 2024,L949367,S188777208,,1
142,22016,species,Southern Black-Tit,Melaniparus niger,2,Kruger NP--Satara Camp,ZA-MP,25 Jul 2024,L949367,S188777208,,1
143,19949,species,Sulphur-breasted Bushshrike,Chlorophoneus sulfureopectus,1,Kruger NP--Satara Camp,ZA-MP,25 Jul 2024,L949367,S188777208,,1
144,9544,species,Common Scimitarbill,Rhinopomastus cyanomelas,1,Kruger NP--Satara Camp,ZA-MP,25 Jul 2024,L949367,S188777208,,1
145,8865,species,Verreaux's Eagle-Owl,Ketupa lactea,1,"S127, Bushbuckridge ZA-MP -24.26130, 31.72436",ZA-MP,24 Jul 2024,L35089256,S188589137,,1
146,31142,species,African Firefinch,Lagonosticta rubricata,1,Kruger NP--S39 (H1-4 to Timbavati),ZA-MP,24 Jul 2024,L2978713,S188595426,,1
147,19972,species,Gray-headed Bushshrike,Malaconotus blanchoti,1,Kruger NP--S39 (H1-4 to Timbavati),ZA-MP,24 Jul 2024,L2978713,S188595426,,1
148,19850,species,Black-crowned Tchagra,Tchagra senegalus,2,Kruger NP--S39 (H1-4 to Timbavati),ZA-MP,24 Jul 2024,L2978713,S188595426,,1
149,24109,species,Yellow-bellied Greenbul,Chlorocichla flaviventris,1,Kruger NP--Olifants Camp (Camp only),ZA-LP,24 Jul 2024,L27669800,S188593949,,1
150,7685,species,Goliath Heron,Ardea goliath,1,Kruger NP--Olifants Camp (Camp only),ZA-LP,24 Jul 2024,L27669800,S188593949,,1
151,5806,species,White-crowned Lapwing,Vanellus albiceps,1,Kruger NP--Olifants Camp (Camp only),ZA-LP,24 Jul 2024,L27669800,S188593949,,1
152,9678,species,White-fronted Bee-eater,Merops bullockoides,1,Kruger NP--Olifants to Balule/S92,ZA-LP,24 Jul 2024,L6970418,S188593381,,1
153,8003,species,Gabar Goshawk,Micronisus gabar,2,Kruger NP--Olifants to Balule/S92,ZA-LP,24 Jul 2024,L6970418,S188593381,,1
154,7203,species,African Woolly-necked Stork,Ciconia microscelis,1,Kruger NP--Olifants River Bridge near Balule,ZA-MP,24 Jul 2024,L11258764,S188593178,,1
155,22182,species,Chestnut-backed Sparrow-Lark,Eremopterix leucotis,20,Kruger NP--S90 (S41 to S89),ZA-MP,24 Jul 2024,L6135514,S188592871,,1
156,23177,species,Rattling Cisticola,Cisticola chiniana,1,Kruger NP--S41/Gudzani Rd,ZA-MP,24 Jul 2024,L3972904,S188592093,,1
157,19862,species,Brown-crowned Tchagra,Tchagra australis,1,Kruger NP--S41/Gudzani Rd,ZA-MP,24 Jul 2024,L3972904,S188592093,,1
158,7836,species,Lappet-faced Vulture,Torgos tracheliotos,1,Kruger NP--S41/Gudzani Rd,ZA-MP,24 Jul 2024,L3972904,S188592093,,1
159,7834,species,White-headed Vulture,Trigonoceps occipitalis,4,Kruger NP--S41/Gudzani Rd,ZA-MP,24 Jul 2024,L3972904,S188592093,,1
160,7226,species,Yellow-billed Stork,Mycteria ibis,1,Kruger NP--S41/Gudzani Rd,ZA-MP,24 Jul 2024,L3972904,S188592093,,1
